Run 1 - Turned the car on, nothing else

CAN Display - log recorder
CAN MSG: 0x810A000 [8] <1:FE:1C:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:10:0:0:0:0:0>
CAN MSG: 0xA28A000 [8] <0:0:0:2C:8:4E:90:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0x810A000 [8] <1:FE:14:0:0:0:0:0>
CAN MSG: 0xA20A000 [4] <0:0:2:0>
CAN MSG: 0xC20A000 [8] <0:0:0:3:4:0:80:6F>
CAN MSG: 0x810A000 [8] <1:FE:18:0:0:0:0:0>
CAN MSG: 0xC24A000 [8] <44:31:6:B1:1:0:0:68>
CAN MSG: 0x28A00F [8] <C:FC:10:0:0:0:0:0>
